CODIGO_OBRA,emp_n_empresas,emp_n_vinculos,emp_n_contrapartes_unicas,emp_n_ganadores,emp_n_participantes,emp_riesgo_max,emp_riesgo_mean,emp_riesgo_std,emp_pct_alto_riesgo,emp_score_proxy_mean,emp_score_proxy_max,emp_ratio_ganador_mean,emp_ratio_participante_mean,emp_intensidad_red_mean,emp_efectividad_ganador_mean,emp_ratio_ganadores_vinculos,emp_ratio_participantes_vinculos
142822,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07142857142857142,13.0,0.0,0.0,0.0
142870,2,2,0,0,0,1,1.0,0.0,0.0,1.0,1,0.0,0.2,4.0,0.0,0.0,0.0
143536,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09166666666666667,10.0,0.0,0.0,0.0
144011,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
144235,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.0625,15.0,0.0,0.0,0.0
144271,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
144325,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09166666666666667,10.0,0.0,0.0,0.0
144334,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.10972222222222222,9.666666666666666,0.0,0.0,0.0
144752,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
144753,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
144910,3,5,0,0,0,3,2.6,0.8944271909999159,0.8,2.6,3,0.0,0.14666666666666667,6.4,0.0,0.0,0.0
145003,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07142857142857142,13.0,0.0,0.0,0.0
145004,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
145481,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
145483,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
