CODIGO_RUC,NOMBRE_EMPRESA_ROL,RUC_CONTRAPARTE,NOMBRE_CONTRAPARTE,rol_empresa,nombre_empresa_1a,n_obras_asociadas_1a,n_registros_1a,es_consorcio,flag_sancionadas_tce,flag_inhabilitadas_pj,flag_sancionadas_rnp,flag_inhabilitadas_rnp,flag_impedidas_rnp,nombre_empresa_2a,capacidad_maxima_contratacion,capacidad_libre_contratacion,estado_empresa,condicion_empresa,numero_sanciones_tce,numero_sanciones_rnp,flag_fecha_constitucion_alerta,flag_ley_selva_alerta,flag_accionistas_alerta,n_obras_representante,n_representantes_legales,representante_legal_principal,NOMBRE_EMPRESA,risk_score_proxy,y_riesgo_empresa_4niveles,n_vinculos_total,n_contrapartes_unicas,n_veces_ganador,n_veces_participante,ratio_ganador,ratio_participante,n_registros_hora_oferta,n_horas_oferta_distintas,hora_oferta_moda,target_disponible
20460678600,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,4855267352.0,4855267352.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,23.0,18.0,16.0,7.0,0.6956521739130435,0.30434782608695654,1.0,1.0,10:00,1
20544952693,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,867507923.1,867507923.1,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20545564891,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,356569741.9,356569741.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20556295281,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),20100995108,CONSTRUCTORA M P M S A(*),ganador,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),597629186.9,597629186.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),0.0,0.0,25.0,20.0,16.0,9.0,0.64,0.36,1.0,1.0,10:00,1
20460678600,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,4855267352.0,4855267352.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,23.0,18.0,16.0,7.0,0.6956521739130435,0.30434782608695654,1.0,1.0,10:00,1
20544952693,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,867507923.1,867507923.1,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20545564891,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,356569741.9,356569741.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20556295281,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),20101029442,CONSORCIO PUENTES CARRETEROS,ganador,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),597629186.9,597629186.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),0.0,0.0,25.0,20.0,16.0,9.0,0.64,0.36,1.0,1.0,10:00,1
20460678600,CONSORCIO PUENTE HUALLAGA I,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,4855267352.0,4855267352.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,23.0,18.0,16.0,7.0,0.6956521739130435,0.30434782608695654,1.0,1.0,10:00,1
20544952693,CONSORCIO PUENTE HUALLAGA I,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,867507923.1,867507923.1,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20545564891,CONSORCIO PUENTE HUALLAGA I,20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,ganador,CONSORCIO PUENTE HUALLAGA I,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,CONSORCIO PUENTE HUALLAGA I,356569741.9,356569741.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,3.0,2.0,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00,1
20556295281,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),20109565017,CONSTRUCCION Y ADMINISTRACION S.A.,ganador,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),597629186.9,597629186.9,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,5.0,POW SANG TEJADA HUGO JOSUE,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),0.0,0.0,25.0,20.0,16.0,9.0,0.64,0.36,1.0,1.0,10:00,1
