CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC_GANADOR,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,CODIGO_RUC_PARTICIPANTE,NOMBRE_PARTICIPANTE
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,KUKOVA INGENIEROS S.A.C.(*),709096,20,2067605,072-2021-MTC/20.2,20117264883,KUKOVA INGENIEROS S.A.C.(*)
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*),709096,69,2067605,072-2021-MTC/20.2,20137109612,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*)
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*),709096,20,2067605,072-2021-MTC/20.2,20137109612,VERA & MORENO S.A. CONSULTORES DE INGENIERIA(*)
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,OBRAS CIVILES CON CALIDAD TOTAL S.A.C.(*),709096,69,2067605,072-2021-MTC/20.2,20414192531,OBRAS CIVILES CON CALIDAD TOTAL S.A.C.(*)
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,OBRAS CIVILES CON CALIDAD TOTAL S.A.C.(*),709096,20,2067605,072-2021-MTC/20.2,20414192531,OBRAS CIVILES CON CALIDAD TOTAL S.A.C.(*)
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,CONSORCIO VIAL TUTUMBARO,709096,69,2067605,072-2021-MTC/20.2,20419183220,CONSORCIO VIAL TUTUMBARO
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,CONSORCIO VIAL TUTUMBARO,709096,20,2067605,072-2021-MTC/20.2,20419183220,CONSORCIO VIAL TUTUMBARO
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,CONSORCIO SAN FRANCISCO,709096,69,2067605,072-2021-MTC/20.2,20521694450,CONSORCIO SAN FRANCISCO
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,CONSORCIO SAN FRANCISCO,709096,20,2067605,072-2021-MTC/20.2,20521694450,CONSORCIO SAN FRANCISCO
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,URCI CONSULTORES S.L. SUCURSAL DEL PERU,709096,69,2067605,072-2021-MTC/20.2,20524383901,URCI CONSULTORES S.L. SUCURSAL DEL PERU
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20419183220,URCI CONSULTORES S.L. SUCURSAL DEL PERU,709096,20,2067605,072-2021-MTC/20.2,20524383901,URCI CONSULTORES S.L. SUCURSAL DEL PERU
