CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,CODIGO_OBRA,NOMBRE_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,RIESGO_OBRA,RIESGO_DESCRIPCION_OBRA
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-619659-2008036-79281,79281,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,Finalizado,EJECUCIÓN,497,0,0,0,4,Extremadamente Riesgosa
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-638717-2026413-79281,79281,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,Finalizado,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-638870-2023471-102021,102021,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LAS AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA - REGIÓN AREQUIPA - TRAMO II,Finalizado,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-670830-2045952-102022,102022,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE 34 -A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN ; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA AREQUIPA - AREQUIPA - TRAMO III,Finalizado,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-476807-2182289-88878,88878,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV- PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA . LIMA,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1,Bajamente Riesgosa
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-756930-2119863-88861,88861,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV. PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA - LIMA,Finalizado,EJECUCIÓN,0,0,1,0,3,Altamente Riesgosa
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-840645-2156293-88861,88861,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV. PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA - LIMA,Finalizado,SUPERVISIÓN,0,0,1,0,3,Altamente Riesgosa
2334119,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LAMBAYEQUE,GOBIERNO NACIONAL,2334119-2334119-817840-2130968-164855,164855,"PIP: ""RECUPERACIÓN DE LA CAPACIDADES OPERATIVAS DE LA 7MA BRIGADA DE INFANTERÍA EN LA GUARNICIÓN DE LAMBAYEQUE""",Sin Ejecución,EXPEDIENTE TÉCNICO,22,0,0,0,2,Medianamente Riesgosa
2334119,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LAMBAYEQUE,GOBIERNO NACIONAL,2334119-2334119-899442-2198922-164855,164855,"PIP: ""RECUPERACIÓN DE LA CAPACIDADES OPERATIVAS DE LA 7MA BRIGADA DE INFANTERÍA EN LA GUARNICIÓN DE LAMBAYEQUE""",Sin Ejecución,EJECUCIÓN,0,0,0,0,0,Sin Riesgo
2335905,OTROS,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2335905-374962-845920-2167911-156662,156662,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO LEONCIO PRADO DISTRITO DE HUAMACHUCO; PROVINCIA SANCHEZ CARRION - LA LIBERTAD,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
