identificador_obra_key,codigo_unico_key,y_riesgo,CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,f2a3a_n_registros,f2a3a_nunique_MIEMBROS_DE_COMITE,f2b_n_registros,f2b_CODIGO_UNICO_mean,f2b_CODIGO_UNICO_max,f2b_PROCESO_mean,f2b_PROCESO_max,f2b_CONVOCATORIA_mean,f2b_CONVOCATORIA_max,f2b_DNI_MIEMBRO_COMITE_mean,f2b_DNI_MIEMBRO_COMITE_max,f2b_nunique_NOMBRE_MIEMBRO_COMITE,f3b_n_registros,f3b_n_ruc_participantes,f3b_n_ruc_ganadores,f3b_ratio_ganadores_participantes,f3c_n_registros,f3c_n_ofertas_con_monto,f3c_monto_ofertado_min,f3c_monto_ofertado_max,f3c_monto_ofertado_mean,f3c_monto_ofertado_median,f3c_monto_ofertado_std,f3c_rango_monto_ofertado,f5a_n_registros,f5a_ANHO_sum,f5a_MES_mean,f5a_MES_max,f5a_MES_sum,f5a_Planificado_mean,f5a_Planificado_max,f5a_Planificado_sum,f5a_Real_mean,f5a_Real_max,f5a_Real_sum,f5a_nunique_ANHO,f5a_nunique_MES
2414831-2414831-632129-2007833-119177,2414831,1,2414831,AGROPECUARIA,HUANCAVELICA,GOBIERNO REGIONAL,119177,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2.0,1.0,6.0,2414831.0,2414831.0,1.0,1.0,632129.0,632129.0,43353367.833333336,76534560.0,6.0,4.0,2.0,2.0,1.0,4.0,4.0,524910.9,524910.9,524910.9,524910.9,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-604345-2015515-105653,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,105653,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2.0,1.0,8.0,2425240.0,2425240.0,10.0,10.0,604345.0,604345.0,39967525.625,70440903.0,8.0,8.0,4.0,2.0,0.5,8.0,8.0,82451.21,82451.21,82451.21,82451.21,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-643287-2025634-129257,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129257,Finalizado,EJECUCIÓN,184,0,0,0,7.0,1.0,8.0,2425240.0,2425240.0,18.0,18.0,643287.0,643287.0,29624028.375,42875682.0,8.0,259.0,37.0,7.0,0.1891891891891892,259.0,259.0,359059.03,916656.12,690603.234864865,916656.1,274293.6536112848,557597.09,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-644176-2047150-129392,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129392,Finalizado,EJECUCIÓN,98,0,0,0,7.0,1.0,6.0,2425240.0,2425240.0,15.0,15.0,644176.0,644176.0,30578739.5,42114580.0,6.0,238.0,34.0,7.0,0.20588235294117646,238.0,238.0,468024.65,603052.83,597620.3529411765,603052.83,24119.815054170605,135028.17999999993,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-645876-2010352-129614,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129614,Finalizado,SUPERVISIÓN,187,0,0,0,2.0,1.0,6.0,2425240.0,2425240.0,20.0,20.0,645876.0,645876.0,40044519.833333336,46368371.0,6.0,16.0,8.0,2.0,0.25,16.0,16.0,49643.83,93731.0,78013.71625,84357.91,14682.118792257867,44087.17,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-649549-2013506-129613,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129613,Finalizado,EJECUCIÓN,150,0,0,0,2.0,1.0,6.0,2425240.0,2425240.0,24.0,24.0,649549.0,649549.0,32456317.666666668,42454992.0,6.0,84.0,42.0,2.0,0.047619047619047616,84.0,84.0,909850.36,1038295.32,928199.6402380953,909850.36,45216.32092589603,128444.95999999996,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-649683-2019501-130452,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,130452,Finalizado,EJECUCIÓN,62,0,0,0,6.0,1.0,6.0,2425240.0,2425240.0,25.0,25.0,649683.0,649683.0,33786415.0,42875682.0,6.0,270.0,45.0,6.0,0.13333333333333333,270.0,270.0,479372.59,793932.38,737329.9711111111,793932.38,120211.66477843859,314559.79,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-652455-2015002-130909,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,130909,Finalizado,SUPERVISIÓN,51,0,1,0,2.0,1.0,6.0,2425240.0,2425240.0,27.0,27.0,652455.0,652455.0,28362600.166666668,42114580.0,6.0,16.0,8.0,2.0,0.25,16.0,16.0,47692.75,79333.47,75378.38,79333.47,10807.36333465044,31640.72,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-653403-2015192-130759,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,130759,Sin Ejecución,SUPERVISIÓN,20,0,1,0,1.0,1.0,6.0,2425240.0,2425240.0,28.0,28.0,653403.0,653403.0,30898404.0,44828890.0,6.0,7.0,7.0,1.0,0.14285714285714285,7.0,7.0,41282.41,56930.49,54695.049999999996,56930.49,5914.418310806225,15648.079999999994,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-654896-2016762-131498,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,131498,Finalizado,EJECUCIÓN,156,0,0,0,3.0,1.0,6.0,2425240.0,2425240.0,30.0,30.0,654896.0,654896.0,33724663.333333336,42454992.0,6.0,126.0,42.0,3.0,0.07142857142857142,126.0,126.0,575519.76,575519.76,575519.76,575519.76,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-654909-2017911-131543,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,131543,Finalizado,EJECUCIÓN,35,0,1,0,4.0,1.0,6.0,2425240.0,2425240.0,29.0,29.0,654909.0,654909.0,30518440.0,42875682.0,6.0,204.0,51.0,4.0,0.0784313725490196,204.0,204.0,477474.9,816370.95,722023.7560784314,773404.06,113638.95957404679,338896.04999999993,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-655293-2022588-131543,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,131543,Finalizado,SUPERVISIÓN,13,0,1,0,2.0,1.0,6.0,2425240.0,2425240.0,31.0,31.0,655293.0,655293.0,27630429.0,44828890.0,6.0,22.0,11.0,2.0,0.18181818181818182,22.0,22.0,52754.6,57390.04,56547.225454545456,57390.03,1829.9338538571933,4635.440000000002,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
