IDENTIFICADOR_OBRA,obra_PROCESO_mean,obra_PROCESO_max,obra_PROCESO_min,obra_CODIGO_RUC_GANADOR_mean,obra_CODIGO_RUC_GANADOR_max,obra_CODIGO_RUC_GANADOR_min,obra_CONVOCATORIA_PROCESO_GANADO_mean,obra_CONVOCATORIA_PROCESO_GANADO_max,obra_CONVOCATORIA_PROCESO_GANADO_min,obra_TotalProcesosParticipantes_mean,obra_TotalProcesosParticipantes_max,obra_TotalProcesosParticipantes_min,obra_CODIGO_CONTRATO_mean,obra_CODIGO_CONTRATO_max,obra_CODIGO_CONTRATO_min,obra_CODIGO_RUC_PARTICIPANTE_mean,obra_CODIGO_RUC_PARTICIPANTE_max,obra_CODIGO_RUC_PARTICIPANTE_min,obra_n_ofertas_mean,obra_n_ofertas_max,obra_n_ofertas_min,obra_monto_ofertado_min_mean,obra_monto_ofertado_min_max,obra_monto_ofertado_min_min,obra_monto_ofertado_max_mean,obra_monto_ofertado_max_max,obra_monto_ofertado_max_min,obra_monto_ofertado_mean_mean,obra_monto_ofertado_mean_max,obra_monto_ofertado_mean_min,obra_monto_ofertado_median_mean,obra_monto_ofertado_median_max,obra_monto_ofertado_median_min,obra_monto_ofertado_std_mean,obra_monto_ofertado_std_max,obra_monto_ofertado_std_min,obra_monto_ofertado_rango_mean,obra_monto_ofertado_rango_max,obra_monto_ofertado_rango_min,obra_obra_2a3a_n_registros_mean,obra_obra_2a3a_n_registros_max,obra_obra_2a3a_n_registros_min,obra_obra_2a3a_nunique_CODIGO_RUC_mean,obra_obra_2a3a_nunique_CODIGO_RUC_max,obra_obra_2a3a_nunique_CODIGO_RUC_min,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_mean,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_max,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_min,obra_obra_2a3a_nunique_TotalProcesosParticipantes_mean,obra_obra_2a3a_nunique_TotalProcesosParticipantes_max,obra_obra_2a3a_nunique_TotalProcesosParticipantes_min,obra_obra_2b_n_registros_mean,obra_obra_2b_n_registros_max,obra_obra_2b_n_registros_min,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_max,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_min,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_max,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_min,obra_obra_5a_n_registros_mean,obra_obra_5a_n_registros_max,obra_obra_5a_n_registros_min,obra_CODIGO_UNICO_first,obra_CODIGO_UNICO_nunique,obra_SECTOR_first,obra_SECTOR_nunique,obra_DEPARTAMENTO_first,obra_DEPARTAMENTO_nunique,obra_NIVEL_GOBIERNO_first,obra_NIVEL_GOBIERNO_nunique,obra_OBJETO_PROCESO_first,obra_OBJETO_PROCESO_nunique,obra_CODIGO_OBRA_first,obra_CODIGO_OBRA_nunique,obra_NOMBREOBRA_first,obra_NOMBREOBRA_nunique,obra_METODO_CONTRATACION_first,obra_METODO_CONTRATACION_nunique,obra_RAZON_SOCIAL_first,obra_RAZON_SOCIAL_nunique,obra_NUMERO_CONTRATO_first,obra_NUMERO_CONTRATO_nunique,obra_NOMBRE_PARTICIPANTE_first,obra_NOMBRE_PARTICIPANTE_nunique,y_riesgo_obra_4niveles,func_n_registros,func_n_funcionarios,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_pct_riesgo_alto
2326592-363114-633184-2007815-119167,2.0,2,2,15328281751.0,20557000012,10099563490,633184.0,633184,633184,64.5,101,28,2007815.0,2007815,2007815,11743222139.857143,20557000012,10085173338,14.0,14,14,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,199551.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2326592,1,AGROPECUARIA,1,HUANCAVELICA,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,119167,1,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO TULLPACANCHA; EN LOS DISTRITOS DE CHURCAMPA; LA MERCED Y SAN MIGUEL DE MAYOCC DE LA PROVINCIA DE CHURCAMPA - DEPARTAMENTO DE HUANCAVELICA",1,Adjudicación Simplificada,1,SHIGUAY SARMIENTO IGNACIO EPIFANIO(*),7,004-2020/DRYTPLCLP,1,SHIGUAY SARMIENTO IGNACIO EPIFANIO(*),7,2,6.0,6.0,0.0,0.0,0.0,0.0
2327694-364106-725234-2079257-146172,29.0,29,29,20571779804.5,20600366948,20543192661,725234.0,725234,725234,129.5,195,64,2079257.0,2079257,2079257,29227089496.333332,99000024381,20101345018,18.0,18,18,3173063.24,3173063.24,3173063.24,3744214.6300000004,3744214.63,3744214.63,3490369.5677777776,3490369.5677777776,3490369.5677777776,3744214.6300000004,3744214.63,3744214.63,292035.41297433985,292035.41297433985,292035.41297433985,571151.3899999997,571151.3899999997,571151.3899999997,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2327694,1,TRANSPORTE,1,SAN MARTIN,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,146172,1,CREACIÓN DE LA VÍA DE EVITAMIENTO A LA CIUDAD DE JUANJUI,1,Concurso Público,1,HOB CONSULTORES S.A.,9,100-2021-MTC/20.2.,1,HOB CONSULTORES S.A.,9,3,6.0,6.0,3.0,0.8333333333333334,1.3291601358251257,0.16666666666666666
2328039-308669-726853-2070457-140616,28.0,28,28,10402087442.0,10402087442,10402087442,726853.0,726853,726853,1.0,1,1,2070457.0,2070457,2070457,10402087442.0,10402087442,10402087442,1.0,1,1,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2328039,1,DEFENSA Y SEGURIDAD NACIONAL,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,140616,1,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),1,Convenio,1,TEJEDA VASQUEZ ROBERTO MISAEL                                                                       ,1,I-177-0-3547,1,TEJEDA VASQUEZ ROBERTO MISAEL                                                                       ,1,2,0.0,0.0,0.0,0.0,0.0,0.0
2328039-308669-733820-2070458-140616,66.0,66,66,10108686869.0,10108686869,10108686869,733820.0,733820,733820,1.0,1,1,2070458.0,2070458,2070458,10108686869.0,10108686869,10108686869,1.0,1,1,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2328039,1,DEFENSA Y SEGURIDAD NACIONAL,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,140616,1,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),1,Convenio,1,CROVETTO APARICIO CARLOS ALBERTO,1,I-178-0-3547,1,CROVETTO APARICIO CARLOS ALBERTO,1,2,0.0,0.0,0.0,0.0,0.0,0.0
2328039-308669-733857-2070460-140616,67.0,67,67,20491597900.0,20491597900,20491597900,733857.0,733857,733857,2.0,2,2,2070460.0,2070460,2070460,20491597900.0,20491597900,20491597900,1.0,1,1,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,3730469.06,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2328039,1,DEFENSA Y SEGURIDAD NACIONAL,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,140616,1,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),1,Convenio,1,PROYECTOS INTEGRALES S.A.C.,1,O-004-0-3547,1,PROYECTOS INTEGRALES S.A.C.,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2328039-308669-852688-2152982-171562,51.0,51,51,20518043928.0,20518043928,20518043928,852688.0,852688,852688,20.0,20,20,2152982.0,2152982,2152982,20518043928.0,20518043928,20518043928,1.0,1,1,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,2607802.96,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2328039,1,DEFENSA Y SEGURIDAD NACIONAL,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,171562,1,ACONDICIONAMIENTO DE AMBIENTES PARA LA IMPLEMENTACION DEL CENTRO DE EMPLEO DE LIMA METROPOLITANA - SEDE MTPE,1,Convenio,1,GLOBAL ENERGY ENVIRONMENTAL AND ECONOMIC CONSULTING SOCIEDAD ANONIMA,1,O-006-0-3547,1,GLOBAL ENERGY ENVIRONMENTAL AND ECONOMIC CONSULTING SOCIEDAD ANONIMA,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2329618-365930-776041-2105638-150346,6.0,6,6,20315494697.5,20529104988,20101884407,776041.0,776041,776041,36.5,40,33,2105638.0,2105638,2105638,20315494697.5,20529104988,20101884407,4.0,4,4,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,115620399.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8,8,2329618,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Obra,1,150346,1,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI - PACAN - EMP. PE-3S A JAUJA - REGION JUNIN - SALDO II ETAPA,1,Adjudicación Simplificada,1,CONSORCIO EL EDEN,2,022-2022/GRJ/ORAF,1,CONSORCIO EL EDEN,2,3,6.0,6.0,3.0,1.5,1.6431676725154984,0.5
2329618-365930-788990-2124348-156086,9.0,9,9,20106383831.5,20108576431,20104191232,788990.0,788990,788990,81.0,111,51,2124348.0,2124348,2124348,19269687732.11111,20602304214,10180928672,18.0,18,18,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,3159720.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,1,2329618,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,156086,1,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI -PACÁN - EMP. PE-3S A JAUJA - REGIÓN JUNÍN - SALDO III ETAPA,1,Concurso Público,1,CONSORCIO SUPERVISOR VIAL DEL CENTRO ,9,060-2022/GRJ/ORAF,1,CONSORCIO SUPERVISOR VIAL DEL CENTRO ,9,3,8.0,8.0,3.0,1.5,1.6035674514745464,0.5
2329618-365930-803241-2125629-84896,23.0,23,23,20106383831.5,20108576431,20104191232,803241.0,803241,803241,81.0,111,51,2125629.0,2125629,2125629,18725500244.833332,20573333081,10444248535,12.0,12,12,2084220.0,2084220.0,2084220.0,2292000.0,2292000.0,2292000.0,2153480.0,2153480.0,2153480.0,2084220.0,2084220.0,2084220.0,102303.79998274305,102303.79998274305,102303.79998274305,207780.0,207780.0,207780.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,1,2329618,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,84896,1,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI - PACAN - EMP. PE-3S A JAUJA - REGION JUNIN,1,Adjudicación Simplificada,1,CONSORCIO SUPERVISOR JUNIN,6,064-2022-GRJ/ORAF,1,CONSORCIO SUPERVISOR JUNIN,6,3,8.0,8.0,3.0,1.125,1.5526475085202969,0.375
2331034-369573-619988-2006266-122362,1.0,1,1,10101999039.0,10101999039,10101999039,619988.0,619988,619988,152.0,152,152,2006266.0,2006266,2006266,17831178081.5,20604335290,10101999039,6.0,6,6,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,2755947.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331034,1,SALUD,1,LA LIBERTAD,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,122362,1,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL CHOCOPE DE LA RED ASISTENCIAL LA LIBERTAD;  DISTRITO DE CHOCOPE - PROVINCIA DE ASCOPE - DEPARTAMENTO DE LA LIBERTAD,1,Adjudicación Simplificada-Decreto Legislativo N° 1355,1,DEXTRE MORIMOTO EDUARDO RAUL(*),6,4600054340,1,DEXTRE MORIMOTO EDUARDO RAUL(*),6,1,6.0,6.0,0.0,0.0,0.0,0.0
2331873-371182-565626-2176199-79281,2.0,2,2,20524399491.0,20524399491,20524399491,565626.0,565626,565626,113.0,113,113,2176199.0,2176199,2176199,17409773866.857143,20543192661,10086051546,14.0,14,14,1656857.01,1656857.01,1656857.01,1840952.23,1840952.23,1840952.23,1696298.2714285715,1696298.2714285715,1696298.2714285715,1656857.01,1656857.01,1656857.01,78375.2383060778,78375.2383060778,78375.2383060778,184095.21999999997,184095.21999999997,184095.21999999997,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,79281,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,1,Concurso Público,1,ARELIM,14,CONTRATO 15-2019,1,ARELIM,14,3,24.0,14.0,3.0,0.4583333333333333,0.8836272412331317,0.041666666666666664
2331873-371182-619504-2008877-79281,2.0,2,2,20468649487.5,20489517320,20447781655,619504.0,619504,619504,105.5,114,97,2008877.0,2008877,2008877,20334179766.0,20602371442,20101029442,12.0,12,12,26169574.36,26169574.36,26169574.36,31956508.66,31956508.66,31956508.66,28340584.48,28340584.48,28340584.48,28335272.33,28335272.33,28335272.33,2046917.4555683516,2046917.4555683516,2046917.4555683516,5786934.300000001,5786934.300000001,5786934.300000001,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Obra,1,79281,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,1,Licitación Pública,1,INCOT S.A.C. CONTRATISTAS GENERALES,6,N 073-2020-GRA,1,INCOT S.A.C. CONTRATISTAS GENERALES,6,3,0.0,0.0,0.0,0.0,0.0,0.0
2331873-371182-619659-2008036-79281,3.0,3,3,20521213542.333332,20547097069,20489517320,619659.0,619659,619659,271.0,512,114,2008036.0,2008036,2008036,20400936894.846153,20602371442,20100995108,39.0,39,39,22764332.63,22764332.63,22764332.63,26105186.54,26105186.54,26105186.54,24049820.293846156,24049820.293846156,24049820.293846156,24646312.84,24646312.84,24646312.84,1257339.9377100763,1257339.9377100763,1257339.9377100763,3340853.91,3340853.91,3340853.91,3.0,3,3,3.0,3,3,1.0,1,1,3.0,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Obra,1,79281,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,1,Licitación Pública,1,CONSORCIO EJECUTOR,11,N 071-2020-GRA,1,CONSORCIO EJECUTOR,11,3,0.0,0.0,0.0,0.0,0.0,0.0
2331873-371182-638717-2026413-79281,5.0,5,5,13678432605.666666,20570706170,10020343112,638717.0,638717,638717,198.66666666666666,229,142,2026413.0,2026413,2026413,16413379820.2,20570706170,10020343112,15.0,15,15,694649.5400000002,694649.54,694649.54,771832.82,771832.82,771832.82,756396.164,756396.164,756396.164,771832.82,771832.82,771832.82,31956.913971046473,31956.913971046473,31956.913971046473,77183.27999999993,77183.27999999991,77183.27999999991,3.0,3,3,3.0,3,3,1.0,1,1,3.0,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,79281,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,1,Concurso Público,1,TICONA VARGAS TOMAS(*),4,121-2020-GRA,1,TICONA VARGAS TOMAS(*),4,3,0.0,0.0,0.0,0.0,0.0,0.0
2331873-371182-638870-2023471-102021,6.0,6,6,13678432605.666666,20570706170,10020343112,638870.0,638870,638870,198.66666666666666,229,142,2023471.0,2023471,2023471,14363549222.6,20601519624,10020343112,15.0,15,15,767029.0400000002,767029.04,767029.04,852254.48,852254.48,852254.48,818164.304,818164.304,818164.304,852254.48,852254.48,852254.48,43217.18593626592,43217.185936265916,43217.185936265916,85225.43999999994,85225.43999999994,85225.43999999994,3.0,3,3,3.0,3,3,1.0,1,1,3.0,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,102021,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LAS AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA - REGIÓN AREQUIPA - TRAMO II,1,Concurso Público,1,TICONA VARGAS TOMAS(*),4,N 096-2020-GRA,1,TICONA VARGAS TOMAS(*),4,3,6.0,6.0,2.0,0.5,0.8366600265340756,0.0
2331873-371182-670830-2045952-102022,15.0,15,15,10165700541.0,10165700541,10165700541,670830.0,670830,670830,265.0,265,265,2045952.0,2045952,2045952,14333959387.6,20601519624,10024142634,15.0,15,15,687876.51,687876.51,687876.51,764307.23,764307.23,764307.23,698067.2726666667,698067.2726666667,698067.2726666667,687876.51,687876.51,687876.51,26893.35454758811,26893.35454758811,26893.35454758811,76430.71999999997,76430.71999999997,76430.71999999997,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,1,2331873,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,102022,1,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE 34 -A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN ; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA AREQUIPA - AREQUIPA - TRAMO III,1,Concurso Público,1,CONSORCIO VIAL AREQUIPA,12,031-2021-gra,1,CONSORCIO VIAL AREQUIPA,12,3,7.0,7.0,3.0,0.8571428571428571,1.4638501094227998,0.2857142857142857
2333341-372623-476807-2182289-88878,5.0,5,5,20428592581.0,20602371442,20254813720,476807.0,476807,476807,97.0,104,90,2182289.0,2182289,2182289,20428592581.0,20602371442,20254813720,4.0,4,4,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,228034465.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,0.0,0,0,2.0,2,2,,,,,,,,,,1.0,1,1,2333341,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,88878,1,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV- PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA . LIMA,1,Convenio,1,CHAVIN DE HUANTAR E.I.R.L(*),2,Contrato de Ejecución de obra / Licitacion Publica N° Proy 006-MML/OM-2018-TERCERA CONVOCATORIA,1,CHAVIN DE HUANTAR E.I.R.L(*),2,1,0.0,0.0,0.0,0.0,0.0,0.0
2333341-372623-756930-2119863-88861,1.0,1,1,20502977989.666668,20527026238,20489517320,756930.0,756930,756930,118.33333333333333,187,54,2119863.0,2119863,2119863,20502977989.666668,20527026238,20489517320,9.0,9,9,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,17403450.59,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,3,3.0,3,3,0.0,0,0,3.0,3,3,,,,,,,,,,1.0,1,1,2333341,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,88861,1,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV. PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA - LIMA,1,Convenio,1,ASPHALT TECHNOLOGIES SOCIEDAD ANONIMA CERRADA(*),2,as,1,ASPHALT TECHNOLOGIES SOCIEDAD ANONIMA CERRADA(*),2,3,0.0,0.0,0.0,0.0,0.0,0.0
2333341-372623-840645-2156293-88861,1.0,1,1,20602111041.0,20602111041,20602111041,840645.0,840645,840645,156.0,156,156,2156293.0,2156293,2156293,20556480405.5,20602111041,20510849770,2.0,2,2,656569.97,656569.97,656569.97,656569.98,656569.98,656569.98,656569.975,656569.975,656569.975,656569.975,656569.975,656569.975,0.00707106781845092,0.00707106781845092,0.00707106781845092,0.010000000009313226,0.010000000009313226,0.010000000009313226,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2333341,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,88861,1,MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL Y PEATONAL DEL EJE VIAL AV. DE LOS HEROES - AV. PACHACUTEC Y CREACION DE PASOS A DESNIVEL EN LAS INTERSECCIONES CON LA AV. SAN JUAN; AV. MIGUEL IGLESIAS Y AV. 26 DE NOVIEMBRE; DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARIA DEL TRIUNFO Y VILLA EL SALVADOR; PROVINCIA DE LIMA - LIMA,1,Convenio,1,MENDOZA & TAPIA S.A.C.,2,CONCURSO PUBLICO N° 011-MMM/OIM-2022,1,MENDOZA & TAPIA S.A.C.,2,3,0.0,0.0,0.0,0.0,0.0,0.0
2334119-2334119-817840-2130968-164855,3.0,3,3,15524418253.0,20600601467,10448235039,817840.0,817840,817840,193.0,276,110,2130968.0,2130968,2130968,12058599374.5,20600601467,10200902861,12.0,12,12,261810.0,261810.0,261810.0,290900.0,290900.0,290900.0,271506.6666666667,271506.6666666667,271506.6666666667,261810.0,261810.0,261810.0,14322.925890355158,14322.925890355158,14322.925890355158,29090.0,29090.0,29090.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2334119,1,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,1,LAMBAYEQUE,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,164855,1,"PIP: ""RECUPERACIÓN DE LA CAPACIDADES OPERATIVAS DE LA 7MA BRIGADA DE INFANTERÍA EN LA GUARNICIÓN DE LAMBAYEQUE""",1,Adjudicación Simplificada,1,CONSORCIO SANTA ROSA,6,004 - 2022 ,1,CONSORCIO SANTA ROSA,6,2,12.0,10.0,0.0,0.0,0.0,0.0
