CODIGO_OBRA,func_n_funcionarios,func_n_registros,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_score_max,func_score_mean,func_score_std,func_score_responsabilidad_mean,func_score_sancion_mean,func_pct_alto_riesgo,func_pct_medio_o_alto,func_n_obras_mean,func_n_obras_max,func_n_empresas_mean,func_n_empresas_max,func_n_representaciones_mean,func_n_representaciones_max,func_n_empresas_representadas_mean,func_n_empresas_representadas_max
143536,6,6,1,0.16666666666666666,0.408248290463863,5,0.8333333333333334,2.041241452319315,0.8333333333333334,0.0,0.0,0.0,3.3333333333333335,6,6.166666666666667,11.0,0.0,0.0,0.0,0.0
144011,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,7.666666666666667,12,8.666666666666666,12.0,0.0,0.0,0.0,0.0
144235,6,6,2,1.0,0.8944271909999159,14,4.333333333333333,5.278888771954441,4.333333333333333,0.0,0.0,0.3333333333333333,2.1666666666666665,6,2.3333333333333335,7.0,0.0,0.0,0.0,0.0
144271,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,7.666666666666667,12,8.666666666666666,12.0,0.0,0.0,0.0,0.0
144325,6,6,2,0.6666666666666666,1.0327955589886444,8,2.6666666666666665,4.131182235954578,2.6666666666666665,0.0,0.0,0.3333333333333333,4.666666666666667,11,7.5,17.0,0.0,0.0,0.0,0.0
144334,6,6,2,0.6666666666666666,1.0327955589886444,12,3.3333333333333335,5.316640543300503,3.3333333333333335,0.0,0.0,0.3333333333333333,4.0,9,7.333333333333333,14.0,0.0,0.0,0.0,0.0
144910,13,13,3,0.7692307692307693,1.3008872711759818,51,7.230769230769231,15.06183834593156,3.8461538461538463,3.3846153846153846,0.23076923076923078,0.23076923076923078,1.8461538461538463,2,3.0,6.0,0.0,0.0,0.0,0.0
146037,6,6,2,0.8333333333333334,0.9831920802501751,8,3.3333333333333335,3.9327683210007005,3.3333333333333335,0.0,0.0,0.3333333333333333,4.666666666666667,9,5.0,14.0,0.0,0.0,0.0,0.0
146038,6,6,2,0.8333333333333334,0.9831920802501751,8,3.3333333333333335,3.9327683210007005,3.3333333333333335,0.0,0.0,0.3333333333333333,4.666666666666667,9,5.0,14.0,0.0,0.0,0.0,0.0
146140,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7,4.5,13.0,0.0,0.0,0.0,0.0
146172,6,6,2,0.5,0.8366600265340756,12,2.6666666666666665,4.844240566555986,2.6666666666666665,0.0,0.0,0.16666666666666666,3.8333333333333335,7,7.0,13.0,0.0,0.0,0.0,0.0
146965,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,10.0,14,12.833333333333334,23.0,0.0,0.0,0.0,0.0
148627,12,12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2,1.8333333333333333,4.0,0.0,0.0,0.0,0.0
150346,6,6,3,1.5,1.6431676725154984,48,18.666666666666668,21.275964529643932,18.666666666666668,0.0,0.5,0.5,5.5,8,8.166666666666666,12.0,0.0,0.0,0.0,0.0
151347,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0,5.0,0.0,0.0,0.0,0.0
151408,9,9,2,0.4444444444444444,0.7264831572567789,8,1.5555555555555556,2.788866755113585,1.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,1.3333333333333333,2,2.3333333333333335,3.0,0.0,0.0,0.0,0.0
152012,6,6,3,0.6666666666666666,1.2110601416389966,16,3.3333333333333335,6.408327915038889,3.3333333333333335,0.0,0.16666666666666666,0.16666666666666666,3.8333333333333335,4,5.5,6.0,0.0,0.0,0.0,0.0
152016,6,6,3,0.6666666666666666,1.2110601416389966,16,3.3333333333333335,6.408327915038889,3.3333333333333335,0.0,0.16666666666666666,0.16666666666666666,3.8333333333333335,4,5.833333333333333,6.0,0.0,0.0,0.0,0.0
152191,7,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,4,3.857142857142857,6.0,0.0,0.0,0.0,0.0
152911,12,12,2,0.16666666666666666,0.5773502691896258,15,1.25,4.330127018922194,1.25,0.0,0.0,0.08333333333333333,1.0,1,1.8333333333333333,3.0,0.0,0.0,0.0,0.0
153456,3,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,3,5.0,6.0,0.0,0.0,0.0,0.0
155990,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,4,2.8333333333333335,5.0,0.0,0.0,0.0,0.0
156086,8,8,3,1.5,1.6035674514745464,48,17.25,19.45507645834372,17.25,0.0,0.5,0.5,5.375,8,7.75,12.0,0.0,0.0,0.0,0.0
156608,12,12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,14,8.916666666666666,23.0,0.0,0.0,0.0,0.0
156609,13,13,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.384615384615385,14,9.846153846153847,23.0,0.0,0.0,0.0,0.0
